status_label,year,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18
0,2000,123.312,177.398,4.141,39.964,26.551,24.462,0,205.8591,270.032,148.271,1.099,35.823,92.634,32.354,123.391,270.032,33.453,230.068
0,2000,147.443,190.057,4.737,39.405,31.018,24.841,0,214.6781,287.263,172.916,0.741,34.668,97.206,34.416,145.495,287.263,35.157,247.858
0,2000,170.397,200.468,3.783,44.714,31.042,23.59,0,364.4688,307.582,195.943,0,40.931,107.114,37.985,164.733,307.582,37.985,262.868
0,2000,186.674,207.55,3.87,42.967,29.911,25.488,0,273.7,317.722,213.39,0,39.097,110.172,35.353,184.44,317.722,35.353,274.755
0,2000,198.94,206.693,4.322,22.853,28.265,12.767,0,282.3216,298.646,222.748,0,18.531,91.953,39.184,189.967,298.646,39.184,275.793
0,2000,210.486,202.838,5.384,31.584,30.56,17.944,0,378.7302,303.778,242.88,0,26.2,100.94,42.855,193.468,303.778,53.969,272.194
0,2000,154.851,211.681,5.441,41.213,32.903,25.29,0,437.3939,324.964,187.669,0,35.772,113.283,44.603,125.685,324.964,56.114,283.751
0,2000,166.729,213.985,5.366,33.903,34.473,21.413,0,422.2462,324.741,202.677,0,28.537,110.756,43.977,139.88,324.741,56.631,290.838
0,2000,11.777,40.647,0.683,4.804,5.739,2.552,3.726,16.9416,52.547,21.666,1.814,4.121,11.9,5.131,18.368,52.547,7.301,47.743
0,2000,9.952,33.154,0.753,2.469,5.202,0.133,3.495,7.329,42.61,18.855,1.71,1.716,9.456,4.798,17.777,42.61,6.876,40.141
0,2000,9.962,26.47,0.761,2.219,3.79,0.862,3.525,10.8698,34.782,18.366,1.605,1.458,8.312,3.888,18.301,34.782,5.902,32.563
0,2000,10.34,29.6,0.681,2.96,4.388,1.384,3.415,14.6248,38.642,19.48,1.478,2.279,9.042,4.149,19.35,38.642,6.132,35.682
0,2000,11.909,31.969,0.711,3.244,4.124,1.562,3.519,17.6337,41.803,21.088,1.927,2.533,9.834,3.901,20.577,41.803,6.473,38.559
0,2000,9.897,38.925,1.408,3.726,5.113,1.395,3.465,22.7815,50.449,23.962,1.753,2.318,11.524,5.73,21.633,50.449,8.163,46.723
0,2000,11.177,38.821,1.437,3.722,5.801,1.365,4.574,23.5543,50.525,24.294,1.537,2.285,11.704,5.085,22.65,50.525,7.207,46.803
0,2000,10.372,41.477,1.449,2.072,5.651,0.405,3.725,22.1774,52.238,24.999,1.741,0.623,10.761,4.99,22.698,52.238,7.57,50.166
0,2000,9.491,37.337,1.462,0.168,5.182,-0.808,3.998,12.8435,46.081,24.264,1.409,-1.294,8.744,5.577,21.531,46.081,7.852,45.913
0,2000,6.539,32.041,1.068,-1.708,3.784,-2.585,2.214,1.9143,39.617,20.147,0.615,-2.776,7.576,6.132,18.77,39.617,6.747,41.325
0,2000,5.009,14.629,0.463,-2.584,2.107,-3.038,2.38,2.7236,18.6,16.171,0.49,-3.047,3.971,5.202,15.732,18.6,5.692,21.184
0,2000,2672,11880,961,2831,0,1101,602,7984.1743,14711,16544,1952,1870,2831,5327,2905,14711,11901,11880
0,2000,3205,13809,1187,2932,0,828,406,6173.7149,16741,21931,5896,1745,2932,5245,4536,16741,16354,13809
0,2000,3567,13713,1283,166,0,-1216,368,3606.178,13879,23605,8347,-1117,166,6403,2955,13879,19581,13713
0,2000,3902,13061,1148,244,164,-1272,611,1492.6439,13305,24720,10174,-904,244,6455,77,13305,23563,13061
0,2000,4967,11706,1202,286,202,-773,662,1459.0665,13303,26356,11538,-916,1597,6624,-1494,13303,26740,13017
0,2000,3606,13814,1244,-230,203,-5198,696,1045.9284,15002,21801,13005,-1474,1188,5941,-6731,15002,27320,15232
0,2000,167.416,589.259,55.863,88.483,85.907,-35.388,55.374,141.1763,704.328,749.965,320.517,32.62,115.069,150.658,-26.997,704.328,500.554,615.845
0,2000,179.467,657.869,55.488,56.16,82.368,-220.549,66.979,66.7336,742.289,578.341,396.17,0.672,84.42,122.294,-240.524,742.289,543.242,686.129
0,2000,214.535,746.684,51.06,63.666,103.949,-6.82,84.316,96.7548,844.182,580.277,368.637,12.606,97.498,149.465,-250.037,844.182,553.993,780.516
0,2000,205.997,892.765,40.015,50.339,101.835,-59.99,82.581,43.1865,975.017,534.652,393.205,10.324,82.252,151.003,-316.475,975.017,574.19,924.678
0,2000,189.815,827.968,33.441,62.158,83.355,-12.022,61.957,88.032,926.969,503.962,393.466,28.717,99.001,123.674,-320.014,926.969,548.801,864.811
0,2000,160.939,801.076,29.11,47.888,73.213,-26.346,61.695,51.8854,881.568,472.289,393.733,18.778,80.492,122.296,-348.033,881.568,544.596,833.68
0,2000,0.543,0.314,0.361,0.221,0,-0.14,0.296,10.9125,1.138,4.358,0.158,-0.14,0.824,0.593,0.503,1.138,0.751,0.917
0,2000,0.641,0.613,0.427,0.551,0,0.125,0.494,26.2686,1.761,5.926,0,0.124,1.148,1.061,0.628,1.761,1.061,1.21
0,2000,0.397,0.83,0.505,0.839,0,0.251,0.301,21.1941,2.581,7.672,1,0.334,1.751,1.109,0.879,2.581,2.136,1.742
0,2000,0.616,0.88,3.157,0.334,0,-2.847,0.518,21.1283,2.27,9.765,2.25,-2.823,1.39,1.138,-2.039,2.27,3.388,1.936
0,2000,4.021,1.768,1.753,2.889,0,0.972,1.05,127.0935,6.138,23.955,0,1.136,4.37,3.74,-1.175,6.138,4.099,3.249
0,2000,6.17,3.956,2.908,7.406,0,4.028,2.171,163.9033,13.267,30.969,0,4.498,9.311,5.459,2.854,13.267,6.042,5.861
0,2000,5.896,6.68,4.068,10.085,0,3.965,4.247,175.2564,20.502,44.211,3,6.017,13.822,8.7,6.818,20.502,14.433,10.417
0,2000,7.174,5.954,4.894,8.589,0,2.109,5.047,212.1366,19.032,64.406,13.221,3.695,13.078,14.18,8.927,19.032,31.364,10.443
0,2000,5.094,8.274,7.3,-10.609,0,-11.603,3.664,144.1725,17.197,84.597,3.445,-17.909,8.923,12.106,-5.961,17.197,18.001,27.806
0,2000,39.789,14.898,12.216,28.165,0,10.381,21.381,64.5278,49.578,171.989,25.717,15.949,34.68,46.103,18.862,49.578,79.114,21.413
0,2000,17.047,15.107,18.979,23.376,0,1.209,6.772,47.9131,44.791,150.494,34.545,4.397,29.684,21.114,1.975,44.791,65.798,21.415
0,2000,21.891,18.283,20.297,26.721,0,5.503,5.396,54.9942,51.143,152.517,32,6.424,32.86,14.414,7.006,51.143,61.84,24.422
0,2000,28.339,19.352,19.205,38.971,0,11.687,4.869,77.1661,64.703,170.594,42,19.766,45.351,14.799,9.402,64.703,76.413,25.732
0,2000,21.009,20.003,25.392,11.257,0,-10.327,6.608,43.9881,38.165,158.81,47.45,-14.135,18.162,13.158,-3.063,38.165,77.368,26.908
0,2000,11.528,21.959,26.21,7.784,0,-13.073,5.111,26.3396,35.319,132.4,47.45,-18.426,13.36,9.824,-16.136,35.319,67.117,27.535
0,2000,16.074,21.333,21.381,15.546,0,-7.585,4.181,7.4183,44.089,127.879,0,-5.835,22.756,59.622,-23.721,44.089,69.001,28.543
0,2000,138.702,252.691,6.396,20.645,121.863,6.558,2.37,36.983,380.504,178.179,39.967,14.249,127.813,42.841,38.736,380.504,87.961,359.859
0,2000,134.346,262.04,6.233,17.009,123.745,4.506,2.197,27.0725,390.584,170.094,33.906,10.776,128.544,40.345,43.242,390.584,77.588,373.575
0,2000,131.006,277.272,6.38,16.835,125.165,4.754,1.663,45.3956,411.871,165.286,7.128,10.455,134.599,59.905,47.98,411.871,69.696,395.036
0,2000,135.463,272.337,6.885,17.327,129.677,5.354,2.015,40.9056,408.756,169.9,23.4,10.442,136.419,42.086,53.35,408.756,67.79,391.429
0,2000,136.454,289.702,7.284,17.842,131.661,6.513,1.521,64.414,433.27,167.493,9.541,10.558,143.568,46.993,59.863,433.27,58.3,415.428
0,2000,135.064,290.989,6.708,14.664,129.486,3.923,1.734,82.7875,433.854,163.537,7.749,7.956,142.865,39.633,63.786,433.854,48.861,419.19
0,2000,141.629,296.503,5.946,14.61,135.077,1.949,1.781,98.462,435.015,178.922,24.361,8.664,138.512,50.995,65.735,435.015,76.775,420.405
0,2000,162.046,324.885,6.795,18.205,151.406,5.704,3.059,134.4214,475.255,195.42,27.86,11.41,150.37,55.684,68.744,475.255,89.36,457.05
0,2000,149.914,341.393,9.817,12.702,128.545,-0.224,4.905,86.3954,499.032,185.386,29.875,2.885,157.639,42.215,68.405,499.032,78.214,486.33
0,2000,173.255,336.117,9.302,6.058,146.62,-4.976,5.142,32.7008,490.021,208.775,46.626,-3.244,153.904,53.749,63.424,490.021,106.735,483.963
0,2000,162.581,330.179,9.983,17.304,140.375,2.995,7.437,46.2976,488.691,194.808,37.918,7.321,158.512,44.536,66.419,488.691,89.075,471.387
0,2000,169.45,322.226,10.014,7.476,151.079,-4.635,6.847,51.0218,465.199,212.711,56.955,-2.538,142.973,45.787,64.289,465.199,108.418,457.723
0,2000,178.817,336.587,8.65,13.223,156.214,1.655,10.334,31.9738,482.767,220.405,64.867,4.573,146.18,44.533,64.324,482.767,115.965,469.544
0,2000,190.434,343.232,8.847,14.617,166.671,1.307,13.187,26.5527,492.595,243.875,79.382,5.77,149.363,56.815,65.629,492.595,141.712,477.978
0,2000,181.597,338.271,10.421,-1.748,162.67,-26.425,12.305,29.6152,474.052,235.093,107.885,-12.169,135.781,46.019,39.204,474.052,158.951,475.8
0,2000,5444,6731,918,3372,1519,1392,2537,20565.3913,14089,14370,936,2454,7358,5769,6850,14089,10360,10717
0,2000,5491,7105,889,3142,1718,1407,2653,11437.8469,13994,14212,1166,2253,6889,6215,7387,13994,10691,10852
0,2000,4683,7749,919,2152,1137,76,2337,8562.0699,13234,13362,1666,1233,5485,5354,6834,13234,10384,11082
0,2000,4534,7391,818,2184,1062,770,2234,10019.0923,12835,13369,1164,1366,5444,5377,6840,12835,10522,10651
0,2000,5455,8102,858,1876,1075,265,2389,7356.5343,13317,14818,2302,1018,5215,5307,7296,13317,11509,11441
0,2000,5648,8311,1031,1866,1158,556,2544,9245.9783,13517,14737,1852,835,5206,4990,7832,13517,10901,11651
0,2000,5781,8783,1406,2000,1140,-1362,2760,6721.0416,14268,14921,2764,594,5485,5489,5935,14268,12934,12268
0,2000,5557,8278,1331,1895,1202,-601,2669,7413.1914,13274,14320,2714,564,4996,4971,5332,13274,12911,11379
0,2000,6053,6988,678,1014,943,676,1939,6298.56,10301,13659,1289,336,3313,4446,6926,10301,10630,9287
0,2000,5004,6773,494,537,948,-442,1716,1764.552,9416,9179,1252,43,2643,3462,5130,9416,8218,8879
