status_label,year,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18
1,2000,77.37,0.466,0.166,-5.271,0.171,-0.786,7.277,68.5328,1.486,78.166,0,-5.437,1.02,32.529,41.219,1.486,32.529,6.757
1,2000,100.465,0.453,0.23,-5.201,0.256,10.647,12.619,65.3815,1.87,102.561,0.431,-5.431,1.417,47.214,52.694,1.87,47.645,7.071
1,2000,74.478,0.429,0.289,-4.918,0.426,15.123,0.206,66.0506,1.761,76.824,0.39,-5.207,1.332,32.973,43.617,1.761,33.363,6.679
1,2000,70.977,0.426,0.279,-4.83,0.454,5.823,0.241,51.2125,1.689,75.187,0.347,-5.109,1.263,27.215,48.258,1.689,27.562,6.519
1,2000,86.989,0.431,0.297,-5.362,0.364,4.968,0.179,39.0905,1.579,91.195,0.3,-5.659,1.148,43.9,47.871,1.579,44.2,6.941
1,2000,81.686,0.361,0.291,-5.495,0.302,-7.186,2.233,38.2382,1.446,85.725,0.244,-5.786,1.085,49.264,37.313,1.446,49.508,6.941
1,2000,6483,23029,854,3183,3798,1144,1837,30028.5259,33702,17143,4521,2329,10673,5850,5056,33702,11281,30519
1,2000,7304,25295,940,3418,4248,1264,1941,34097.0387,36903,19490,5634,2478,11608,6301,5542,36903,12971,33485
1,2000,9648,27246,1079,3826,4449,1368,3831,40198.3777,39888,24154,8088,2747,12642,7054,6687,39888,16294,36062
1,2000,11935,29260,1212,4476,4760,1654,5565,25665.5144,43917,28603,10186,3264,14657,7523,8111,43917,19160,39441
1,2000,12928,31790,1320,4839,5343,1841,5776,34612.2317,48163,31392,10217,3519,16373,8314,9648,48163,20327,43324
1,2000,13922,31445,1259,4860,5384,3198,5497,45217.9959,46839,32293,9034,3601,15394,8220,11145,46839,19264,41979
1,2000,14405,34927,1409,5705,5838,2408,6226,47855.6063,52620,34995,9119,4296,17693,9588,12011,52620,20790,46915
1,2000,14706,39399,1524,6565,6254,2787,6757,52755.5486,59490,37349,8675,5041,20091,11117,13174,59490,21716,52925
1,2000,18906,41895,1659,6931,6780,2849,8651,45374.46,63367,44560,15126,5272,21472,11782,12583,63367,29253,56436
1,2000,17488,44157,1826,6228,6705,2214,8753,23484.6144,64948,44106,17490,4402,20791,10512,10887,64948,30394,58720
1,2000,18424,44062,2023,6696,7179,2488,7882,38177.8979,65357,44533,15118,4673,21295,11327,12366,65357,29186,58661
